INDIVIDUALS	STRATA
A001-24	Elizabeth
A002-24	Elizabeth
A003-24	Elizabeth
A004-24	Elizabeth
A005-24	Elizabeth
A006-24	Elizabeth
A007-24	Elizabeth
A008-24	Elizabeth
A009-24	Elizabeth
A010-24	Elizabeth
A011-24	Elizabeth
A012-24	Elizabeth
A013-24	Elizabeth
A014-24	Middleton
A015-24	Middleton
A016-24	Middleton
A017-24	Middleton
A018-24	Middleton
A019-24	Middleton
A020-24	Middleton
A021-24	Middleton
A022-24	Middleton
A023-24	Middleton
A024-24	Middleton
A025-24	Middleton
A026-24	Middleton
A027-24	Middleton
A028-24	Middleton
A029-24	Middleton
A030-24	Middleton
A031-24	Middleton
A032-24	Middleton
A033-24	Middleton
A034-24	Middleton
A035-24	Middleton
A036-24	Middleton
A037-24	Middleton
A038-24	Cato
A039-24	Cato
A040-24	Cato
A041-24	Cato
A042-24	Cato
A043-24	Cato
A044-24	Cato
A045-24	Cato
A046-24	Cato
A047-24	Cato
A048-24	Cato
A049-24	Cato
A050-24	Cato
A051-24	Cato
A052-24	Cato
A053-24	Cato
A054-24	Cato
A055-24	Wreck
A056-24	Wreck
A057-24	Wreck
A058-24	Wreck
A059-24	Wreck
A060-24	Wreck
A061-24	Wreck
A062-24	Wreck
A063-24	Wreck
A064-24	Wreck
A065-24	Wreck
A066-24	Wreck
A067-24	Wreck
A068-24	Wreck
A069-24	Wreck
A070-24	Wreck
A071-24	Wreck
A072-24	Wreck
A073-24	Wreck
A074-24	Wreck
A075-24	Wreck
A076-24	Wreck
A077-24	Wreck
A078-24	Wreck
A079-24	Wreck
A080-24	Wreck
A081-24	Wreck
A082-24	Wreck
A083-24	Wreck
A084-24	Kenn
A085-24	Kenn
A086-24	Kenn
A087-24	Kenn
A088-24	Kenn
A089-24	Kenn
A090-24	Kenn
A091-24	Kenn
A092-24	Kenn
A093-24	Kenn
A094-24	Kenn
A095-24	Kenn
A096-24	Kenn
A097-24	Mellish
A098-24	Mellish
A099-24	Mellish
A100-24	Mellish
A101-24	Mellish
A102-24	Mellish
A103-24	Mellish
A104-24	Mellish
A105-24	Mellish
A106-24	Mellish
A107-24	Mellish
A108-24	Mellish
A109-24	Mellish
A110-24	Mellish
A111-24	Mellish
A112-24	Mellish
A113-24	Mellish
A114-24	Mellish
A115-24	Mellish
A116-24	Mellish
A117-24	Mellish
A118-24	Mellish
A119-24	Mellish
A120-24	Mellish
A121-24	Mellish
A122-24	Mellish
A123-24	Mellish
A124-24	Mellish
A125-24	Mellish
A126-24	Mellish
A127-24	Mellish
A128-24	Mellish
A129-24	Mellish
A130-24	Mellish
A131-24	Mellish
A132-24	Mellish
A133-24	Mellish
A134-24	Mellish
A135-24	Mellish
A136-24	Mellish
A137-24	Mellish
A138-24	Mellish
A139-24	Mellish
A140-24	Mellish
A141-24	Mellish
A142-24	Mellish
A143-24	Mellish
A144-24	Mellish
A145-24	Mellish
A146-24	Mellish
A147-24	Mellish
A148-24	Mellish
A149-24	Mellish
A150-24	Mellish
A151-24	Mellish
A152-24	Mellish
A153-24	Mellish
A154-24	Mellish
A155-24	Mellish
A156-24	Mellish
A157-24	Mellish
A158-24	Mellish
A159-24	Mellish
A160-24	Mellish
A161-24	Mellish
A162-24	Mellish
A163-24	Mellish
A164-24	Mellish
A165-24	Mellish
A166-24	Marion
A167-24	Marion
A168-24	Marion
A169-24	Marion
A170-24	Marion
A171-24	Marion
A172-24	Marion
A173-24	Marion
A174-24	Marion
A175-24	Marion
A176-24	Marion
A177-24	Marion
A178-24	Marion
A179-24	Marion
A180-24	Marion
A181-24	Marion
A182-24	Marion
A183-24	Marion
A184-24	Marion
A185-24	Marion
A186-24	Marion
A187-24	Marion
A188-24	Marion
A189-24	Marion
A190-24	Marion
A191-24	Marion
A192-24	Marion
A193-24	Marion
A194-24	Marion
A195-24	Marion
A196-24	Marion
A197-24	Marion
A198-24	Marion
A199-24	Marion
A200-24	Marion
A201-24	Marion
A202-24	Marion
A203-24	Marion
A204-24	Marion
A205-24	Marion
A206-24	Marion
A207-24	Marion
A208-24	Marion
A209-24	Marion
A210-24	Marion
A211-24	Marion
A212-24	Marion
A213-24	Frederick
A214-24	Frederick
A215-24	Frederick
A216-24	Frederick
A217-24	Frederick
A218-24	Frederick
A219-24	Frederick
A220-24	Frederick
A221-24	Frederick
A222-24	Frederick
A223-24	Frederick
A224-24	Frederick
A225-24	Frederick
A226-24	Frederick
A227-24	Frederick
A228-24	Saumarez
A229-24	Saumarez
A230-24	Saumarez
A231-24	Saumarez
A232-24	Saumarez
A233-24	Saumarez
A234-24	Saumarez
A235-24	Saumarez
A236-24	Saumarez
A237-24	Saumarez
A238-24	Saumarez
A239-24	Saumarez
A240-24	Saumarez
A241-24	Saumarez
A242-24	Saumarez
A243-24	Saumarez
A244-24	Saumarez
A245-24	Saumarez
A246-24	Saumarez
A247-24	Saumarez
A248-24	Saumarez
A249-24	Saumarez
A250-24	Saumarez
A251-24	Saumarez
A252-24	Saumarez
A253-24	Saumarez
A254-24	Saumarez
A255-24	Saumarez
A256-24	Saumarez
A257-24	Saumarez
A258-24	Saumarez
A259-24	Saumarez
A260-24	Saumarez
A261-24	Willis
A262-24	Willis
A263-24	Willis
A264-24	Willis
A265-24	Willis
A266-24	Willis
A267-24	Willis
A268-24	Willis
A269-24	Willis
A270-24	Willis
A271-24	Madgelaine
A272-24	Madgelaine
A273-24	Madgelaine
A274-24	Madgelaine
A275-24	Madgelaine
A276-24	Madgelaine
A277-24	Madgelaine
A278-24	Madgelaine
A279-24	Madgelaine
A280-24	Madgelaine
A281-24	Madgelaine
A282-24	Madgelaine
A283-24	Madgelaine
A284-24	Madgelaine
A285-24	Madgelaine
A286-24	Madgelaine
A287-24	Diamond
A288-24	Diamond
A289-24	Diamond
A290-24	Diamond
A291-24	Diamond
A292-24	Diamond
A293-24	Diamond
A294-24	Diamond
A295-24	Diamond
A296-24	Diamond
A297-24	Diamond
A298-24	Diamond
A299-24	Diamond
A300-24	Diamond
A301-24	Diamond
A302-24	Diamond
A303-24	Diamond
A304-24	Diamond
A305-24	Diamond
A306-24	Diamond
A307-24	Diamond
A308-24	Diamond
A309-24	Diamond
A310-24	Diamond
A311-24	Diamond
A312-24	Diamond
A313-24	Diamond
A314-24	Diamond
A315-24	Diamond
A316-24	Coringa
A317-24	Coringa
A318-24	Coringa
A319-24	Coringa
A320-24	Coringa
A321-24	Coringa
A322-24	Coringa
A323-24	Coringa
A324-24	Coringa
A325-24	Coringa
A326-24	Coringa
A327-24	Coringa
A328-24	Coringa
A329-24	Coringa
A330-24	Coringa
A331-24	Coringa
A332-24	Coringa
A333-24	Coringa
A334-24	Coringa
A335-24	Coringa
A336-24	Coringa
A337-24	Coringa
A338-24	Coringa
A339-24	Coringa
A340-24	Coringa
A341-24	Coringa
A342-24	Coringa
A343-24	Coringa
A344-24	Coringa
A345-24	Coringa
A346-24	Coringa
A347-24	Willis
A348-24	Willis
A349-24	Willis
A350-24	Willis
A351-24	Willis
A352-24	Herald
A353-24	Herald
A354-24	Herald
A355-24	Herald
A356-24	Herald
A357-24	Herald
A038-20	Frederick
A039-20	Frederick
A043-20	Frederick
A049-20	Frederick
A101-20	Flinders
A105-20	Flinders
A108-20	Flinders
A112-20	Flinders
A122-20	Flinders
A065-20	Marion
A082-20	Marion
A091-20	Marion
A066-20	Marion
A084-20	Marion
A207-20	Moore
A210-20	Moore
A216-20	Moore
A218-20	Moore
AMIL001-24	GBR
AMIL002-24	GBR
AMIL003-24	GBR
AMIL004-24	GBR
A131-24b	Mellish
A249-24b	Saumarez
A294-24b	Diamond